罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,発生場所の詳細,施錠関係,盗難防止装置の有無,現金以外の主な被害品
窃盗,自動車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,青葉町,20241008,18,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,末広３丁目,20231230,10,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,なし,貨物自動車
窃盗,自動車盗,千葉中央,千葉寺駅前,121011,千葉県,千葉市中央区,千葉寺町,20240621,12,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,本千葉駅前,121011,千葉県,千葉市中央区,寒川町１丁目,20241122,5,その他,その他,キーあり,なし,貨物自動車
窃盗,自動車盗,千葉中央,西千葉,121011,千葉県,千葉市中央区,汐見丘町,20240114,14,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,登戸,121011,千葉県,千葉市中央区,登戸３丁目,20240115,19,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,本町,121011,千葉県,千葉市中央区,栄町,20240126,19,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,千葉中央,千葉公園前,121011,千葉県,千葉市中央区,東千葉３丁目,20240304,11,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,千葉中央,都,121011,千葉県,千葉市中央区,都町２丁目,20240926,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,白旗,121011,千葉県,千葉市中央区,今井３丁目,20240112,21,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,白旗,121011,千葉県,千葉市中央区,宮崎１丁目,20240622,0,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉中央,蘇我駅前,121011,千葉県,千葉市中央区,今井３丁目,20240617,20,その他,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,千葉中央,蘇我駅前,121011,千葉県,千葉市中央区,若草１丁目,20240112,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,千葉中央,蘇我駅前,121011,千葉県,千葉市中央区,蘇我１丁目,20240126,12,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,蘇我駅前,121011,千葉県,千葉市中央区,蘇我２丁目,20240112,23,一戸建住宅,その他,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉中央,蘇我駅前,121011,千葉県,千葉市中央区,蘇我３丁目,20240209,0,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉南,鎌取駅前,121053,千葉県,千葉市緑区,鎌取町,20241204,20,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,千葉南,鎌取駅前,121053,千葉県,千葉市緑区,平山町,20240207,20,その他,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,千葉南,鎌取駅前,121053,千葉県,千葉市緑区,平山町,20240306,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉南,鎌取駅前,121053,千葉県,千葉市緑区,おゆみ野南３丁目,20240617,18,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,千葉南,土気駅前,121053,千葉県,千葉市緑区,高田町,20240506,9,その他,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,千葉南,土気駅前,121053,千葉県,千葉市緑区,あすみが丘東２丁目,20240425,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉南,土気駅前,121053,千葉県,千葉市緑区,あすみが丘東３丁目,20240705,20,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉南,土気駅前,121053,千葉県,千葉市緑区,あすみが丘東３丁目,20240705,17,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,千葉南,土気駅前,121053,千葉県,千葉市緑区,あすみが丘東３丁目,20240705,20,一戸建住宅,駐車（輪）場,キーあり,あり,なし
窃盗,自動車盗,千葉南,誉田,121053,千葉県,千葉市緑区,誉田町２丁目,20240718,3,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,千葉南,誉田,121053,千葉県,千葉市緑区,誉田町２丁目,20241202,17,その他,その他,キーなし,なし,貨物自動車
窃盗,自動車盗,千葉南,あすみが丘,121053,千葉県,千葉市緑区,あすみが丘８丁目,20241126,21,駐車（輪）場,駐車（輪）場,キーなし,あり,その他
窃盗,自動車盗,習志野,京成大久保駅前,122165,千葉県,習志野市,大久保２丁目,20240314,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,習志野,京成大久保駅前,122165,千葉県,習志野市,屋敷３丁目,20240516,8,一戸建住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,習志野,京成大久保駅前,122165,千葉県,習志野市,実籾２丁目,20240908,0,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,習志野,袖ヶ浦,122165,千葉県,習志野市,袖ケ浦１丁目,20240722,21,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,習志野,袖ヶ浦,122165,千葉県,習志野市,袖ケ浦２丁目,20240613,20,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,習志野,津田沼駅前,122165,千葉県,習志野市,奏の杜３丁目,20240916,9,４階建て以上共同住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,習志野,藤崎,122165,千葉県,習志野市,津田沼３丁目,20240915,12,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,習志野,藤崎,122165,千葉県,習志野市,本大久保１丁目,20240402,15,道路上,その他,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,海神,122041,千葉県,船橋市,海神３丁目,20241003,22,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,行田,122041,千葉県,船橋市,行田１丁目,20240712,19,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,船橋,行田,122041,千葉県,船橋市,行田１丁目,20240825,14,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,中山駅前,122041,千葉県,船橋市,本中山２丁目,20240909,7,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,船橋,夏見,122041,千葉県,船橋市,夏見台２丁目,20240702,23,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,船橋,西船橋駅前,122041,千葉県,船橋市,葛飾町２丁目,20240416,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,船橋,西船橋駅前,122041,千葉県,船橋市,西船４丁目,20240711,10,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,船橋,西船橋駅前,122041,千葉県,船橋市,西船６丁目,20241116,20,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーあり,あり,なし
窃盗,自動車盗,船橋,西船橋駅前,122041,千葉県,船橋市,二子町,20240903,18,一戸建住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,船橋,西船橋駅前,122041,千葉県,船橋市,本郷町,20240903,23,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,西船橋駅前,122041,千葉県,船橋市,山野町,20240621,21,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,西船橋駅前,122041,千葉県,船橋市,山野町,20240914,13,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,西船橋駅前,122041,千葉県,船橋市,山野町,20241128,8,駐車（輪）場,駐車（輪）場,キーあり,なし,なし
窃盗,自動車盗,船橋,浜町,122041,千葉県,船橋市,浜町２丁目,20240529,2,４階建て以上共同住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,船橋,浜町,122041,千葉県,船橋市,浜町２丁目,20240816,0,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,船橋,船橋駅前,122041,千葉県,船橋市,本町４丁目,20240830,22,駐車（輪）場,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,船橋,船橋駅前,122041,千葉県,船橋市,湊町２丁目,20240911,0,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,船橋駅前,122041,千葉県,船橋市,湊町３丁目,20240330,22,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,船橋,法典,122041,千葉県,船橋市,馬込町,20240605,23,その他の住宅（３階建て以下共同住宅等）,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,船橋,宮本,122041,千葉県,船橋市,東船橋４丁目,20241027,13,その他,駐車（輪）場,キーあり,なし,乗用自動車
窃盗,自動車盗,船橋,藤原,122041,千葉県,船橋市,藤原１丁目,20240710,17,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,市川駅前,122033,千葉県,市川市,新田１丁目,20240213,15,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,市川駅前,122033,千葉県,市川市,新田２丁目,20240425,21,一戸建住宅,駐車（輪）場,キーあり,あり,乗用自動車
窃盗,自動車盗,市川,大野駅前,122033,千葉県,市川市,大野町２丁目,20240723,6,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,大野駅前,122033,千葉県,市川市,大野町２丁目,20241115,23,道路上,その他,キーあり,なし,乗用自動車
窃盗,自動車盗,市川,国分,122033,千葉県,市川市,国府台４丁目,20240323,20,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,国分,122033,千葉県,市川市,国分２丁目,20240523,22,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,国分,122033,千葉県,市川市,曽谷５丁目,20241204,2,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,菅野,122033,千葉県,市川市,宮久保１丁目,20240414,17,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,中国分,122033,千葉県,市川市,中国分４丁目,20240227,19,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,中国分,122033,千葉県,市川市,中国分４丁目,20240312,18,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,中国分,122033,千葉県,市川市,堀之内３丁目,20240413,7,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,中国分,122033,千葉県,市川市,堀之内３丁目,20240415,18,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,市川,中国分,122033,千葉県,市川市,堀之内４丁目,20240410,15,一戸建住宅,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,市川,原木,122033,千葉県,市川市,田尻４丁目,20240504,19,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,原木,122033,千葉県,市川市,田尻４丁目,20240816,2,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,真間,122033,千葉県,市川市,須和田１丁目,20231227,18,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,南八幡,122033,千葉県,市川市,鬼高３丁目,20240102,18,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,南八幡,122033,千葉県,市川市,稲荷木１丁目,20240426,1,一戸建住宅,駐車（輪）場,キーあり,あり,なし
窃盗,自動車盗,市川,南八幡,122033,千葉県,市川市,南八幡２丁目,20240925,22,駐車（輪）場,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,南八幡,122033,千葉県,市川市,南八幡５丁目,20240703,18,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,本八幡,122033,千葉県,市川市,平田１丁目,20240504,16,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,本八幡,122033,千葉県,市川市,平田１丁目,20240503,22,駐車（輪）場,駐車（輪）場,キーなし,なし,なし
窃盗,自動車盗,市川,本八幡,122033,千葉県,市川市,平田３丁目,20240825,16,その他,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,市川,若宮,122033,千葉県,市川市,高石神,20240623,14,駐車（輪）場,駐車（輪）場,キーなし,なし,貨物自動車
窃盗,自動車盗,市川,若宮,122033,千葉県,市川市,本北方３丁目,20240105,19,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,大洲,122033,千葉県,市川市,市川南２丁目,20240824,16,駐車（輪）場,駐車（輪）場,キーなし,あり,なし
窃盗,自動車盗,市川,大洲,122033,千葉県,市川市,市川南４丁目,20240526,23,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,市川,大洲,122033,千葉県,市川市,市川南４丁目,20240527,5,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,浦安,浦安駅前,122271,千葉県,浦安市,当代島３丁目,20240527,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,浦安,浦安駅前,122271,千葉県,浦安市,東野２丁目,20240401,23,一戸建住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,浦安,新浦安駅前,122271,千葉県,浦安市,海楽１丁目,20240425,21,一戸建住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,新浦安駅前,122271,千葉県,浦安市,高洲８丁目,20240318,20,４階建て以上共同住宅,駐車（輪）場,キーなし,あり,乗用自動車
窃盗,自動車盗,浦安,新浦安駅前,122271,千葉県,浦安市,美浜１丁目,20240803,2,４階建て以上共同住宅,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,浦安,富岡,122271,千葉県,浦安市,今川１丁目,20240629,7,一戸建住宅,その他,キーあり,あり,なし
窃盗,自動車盗,浦安,富岡,122271,千葉県,浦安市,今川１丁目,20240807,20,その他,駐車（輪）場,キーなし,なし,乗用自動車
窃盗,自動車盗,浦安,富岡,122271,千葉県,浦安市,今川４丁目,20240318,20,駐車（輪）場,駐車（輪）場,キーなし,なし,乗用自動車
